name,link,dir_cn
David Lynch,/name/nm0000186/,"Missoula, Montana, USA"
Alfonso Cuarón,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico"
Guillermo Del Toro,/name/nm0868219/,"Guadalajara, Jalisco, Mexico"
Christopher Nolan,/name/nm0634240/,"London, England, UK"
Brad Bird,/name/nm0083348/,"Kalispell, Montana, USA"
Alejandro González Iñárritu,/name/nm0327944/,"Mexico City, Distrito Federal, Mexico"
Ang Lee,/name/nm0000487/,"Pingtung, Taiwan"
Wong Kar-wai,/name/nm0939182/,"Shanghai, China"
Steve McQueen,/name/nm0000537/,"Beech Grove, Indiana, USA"
Hayao Miyazaki,/name/nm0594503/,"Tokyo, Japan"
Andrea Arnold,/name/nm0036349/,"Dartford, Kent, England, UK"
Xavier Dolan,/name/nm0230859/,"Montreal, Quebec, Canada"
Pedro Almodóvar,/name/nm0000264/,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain"
Abderrahmane Sissako,/name/nm0803066/,"Kiffa, Mauritania"
Ava DuVernay,/name/nm1148550/,"Long Beach, California, USA"
Michael Haneke,/name/nm0359734/,"Munich, Bavaria, Germany"
Lucrecia Martel,/name/nm0551506/,"Salta, Argentina"
Wes Anderson,/name/nm0027572/,"Houston, Texas, USA"
Todd Haynes,/name/nm0001331/,"Los Angeles, California, USA"
Wes Anderson,/name/nm0027572/,"Houston, Texas, USA"
Sofia Coppola,/name/nm0001068/,"New York City, New York, USA"
Tom Ford,/name/nm1053530/,"Austin, Texas, USA"
Hayao Miyazaki,/name/nm0594503/,"Tokyo, Japan"
Lee Unkrich,/name/nm0881279/,"Cleveland, Ohio, USA"
Michel Gondry,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
Luca Guadagnino,/name/nm0345174/,"Palermo, Sicily, Italy"
Richard Kelly,/name/nm0446819/,"Newport News, Virginia, USA"
Paul Thomas Anderson,/name/nm0000759/,"Studio City, California, USA"
Jean-Luc Godard,/name/nm0000419/,"Paris, France"
David Cronenberg,/name/nm0000343/,"Toronto, Ontario, Canada"
Sofia Coppola,/name/nm0001068/,"New York City, New York, USA"
Leos Carax,/name/nm0136021/,"Suresnes, Seine [now Hauts-de-Seine], France"
Chantal Akerman,/name/nm0001901/,"Brussels, Belgium"
Jacques Rivette,/name/nm0729626/,"Rouen, Seine-Inférieure [now Seine-Maritime], France"
Spike Lee,/name/nm0000490/,"Atlanta, Georgia, USA"
Richard Linklater,/name/nm0000500/,"Houston, Texas, USA"
Jonathan Glazer,/name/nm0322242/,"London, England, UK"
Steve McQueen,/name/nm0000537/,"Beech Grove, Indiana, USA"
